vendor_id,day_type,start_time,end_time,day_number
mdkyzg,donderdag,,,
23leo5,donderdag,,,
2e4oex,donderdag,,,
2xxy5k,donderdag,,,
mkb3za,donderdag,,,
mavada,donderdag,,,
mbyvlk,donderdag,,,
mwz63b,donderdag,,,
2v3vzx,donderdag,,,
mav7gp,donderdag,,,
my3obz,donderdag,,,
mwz6xk,donderdag,,,
mwz6b5,donderdag,,,
2zopx5,donderdag,,,
2g3n63,donderdag,,,
2v3vdp,donderdag,,,
mdkypy,donderdag,,,
276bby,donderdag,,,
2opexn,donderdag,,,
m66kpv,donderdag,,,
23lew4,donderdag,,,
2v3vv4,donderdag,,,
2g3ng3,donderdag,,,
2le54v,donderdag,,,
m66kk6,donderdag,,,
y2xezm,dinsdag,08:00,17:00,2
y2xezm,woensdag,08:00,17:00,3
y2xezm,donderdag,08:00,17:00,4
y2xezm,vrijdag,09:30,18:30,5
y2xezm,zaterdag,08:00,17:00,6
ymdrrm,maandag,07:00,17:00,1
ymdrrm,dinsdag,07:00,17:00,2
ymdrrm,woensdag,07:00,17:00,3
ymdrrm,donderdag,07:00,17:00,4
ymdrrm,vrijdag,07:00,17:00,5
ymdrrm,zaterdag,07:00,17:00,6
ymddom,maandag,09:00,18:00,1
ymddom,dinsdag,09:00,18:00,2
ymddom,woensdag,09:00,18:00,3
ymddom,donderdag,09:00,18:00,4
ymddom,vrijdag,09:00,18:00,5
ymddom,zaterdag,09:00,17:00,6
42rno2,maandag,09:30,18:30,1
42rno2,dinsdag,09:30,18:30,2
42rno2,woensdag,09:00,17:00,3
42rno2,donderdag,09:30,18:30,4
42rno2,vrijdag,09:00,17:00,5
42rno2,zaterdag,09:00,17:00,6
ymwqlm,dinsdag,10:00,18:00,2
ymwqlm,woensdag,10:00,18:00,3
ymwqlm,donderdag,10:00,18:00,4
ymwqlm,vrijdag,10:00,18:00,5
ymwqlm,zaterdag,10:00,21:00,6
k27z7m,maandag,10:00,17:30,1
k27z7m,dinsdag,08:00,17:30,2
k27z7m,woensdag,08:00,17:30,3
k27z7m,donderdag,08:00,17:30,4
k27z7m,vrijdag,08:00,17:30,5
k27z7m,zaterdag,08:00,17:30,6
xmypv2,dinsdag,09:30,18:30,2
xmypv2,woensdag,09:30,18:30,3
xmypv2,donderdag,07:00,18:00,4
xmypv2,vrijdag,09:30,18:30,5
xmypv2,zaterdag,09:30,18:30,6
32znx2,dinsdag,09:30,18:30,2
32znx2,woensdag,09:30,18:30,3
32znx2,donderdag,09:30,18:30,4
32znx2,vrijdag,09:30,18:30,5
32znx2,zaterdag,09:30,18:30,6
dmnw42,maandag,09:00,16:30,1
dmnw42,dinsdag,09:00,16:30,2
dmnw42,woensdag,09:00,16:30,3
dmnw42,donderdag,09:00,16:30,4
dmnw42,vrijdag,09:00,16:30,5
dmnw42,zaterdag,09:00,16:30,6
42r7om,dinsdag,11:00,19:00,2
42r7om,woensdag,11:00,19:00,3
42r7om,donderdag,11:00,19:00,4
42r7om,vrijdag,11:00,19:00,5
42r7om,zaterdag,10:00,18:00,6
e23pnm,dinsdag,09:30,18:30,2
e23pnm,woensdag,09:30,18:30,3
e23pnm,donderdag,09:30,18:30,4
e23pnm,vrijdag,09:30,18:30,5
e23pnm,zaterdag,09:30,18:30,6
rm5rx2,dinsdag,09:30,18:30,2
rm5rx2,woensdag,09:30,18:30,3
rm5rx2,vrijdag,09:00,17:00,5
rm5rx2,zaterdag,09:00,17:00,6
wm4nam,maandag,12:00,18:00,1
wm4nam,dinsdag,10:00,18:00,2
wm4nam,woensdag,10:00,18:00,3
wm4nam,donderdag,09:30,18:30,4
wm4nam,vrijdag,10:00,18:00,5
wm4nam,zaterdag,10:00,17:00,6
wm4nam,zondag,10:00,17:00,7
62eblm,maandag,09:30,18:30,1
62eblm,dinsdag,10:00,18:30,2
62eblm,woensdag,10:00,18:30,3
62eblm,donderdag,10:00,18:30,4
62eblm,vrijdag,10:00,18:30,5
62eblm,zaterdag,09:00,18:30,6
2lbn62,dinsdag,09:30,16:00,2
2lbn62,woensdag,09:30,16:00,3
2lbn62,donderdag,09:30,16:00,4
2lbn62,vrijdag,09:30,17:00,5
2lbn62,zaterdag,09:30,17:00,6
2poxbm,maandag,08:00,17:00,1
2poxbm,woensdag,08:00,17:00,3
2poxbm,vrijdag,08:00,17:00,5
2poxbm,zaterdag,08:00,17:00,6
m66nrn,maandag,09:00,20:00,1
m66nrn,dinsdag,09:00,20:00,2
m66nrn,woensdag,09:00,20:00,3
m66nrn,donderdag,09:00,20:00,4
m66nrn,vrijdag,09:00,20:00,5
m66nrn,zaterdag,09:00,20:00,6
m66nrn,zondag,09:00,20:00,7
2xxvye,maandag,09:30,18:30,1
2xxvye,dinsdag,09:30,18:30,2
2xxvye,woensdag,09:30,18:30,3
2xxvye,donderdag,09:30,18:30,4
2xxvye,vrijdag,09:30,18:30,5
2xxvye,zaterdag,09:30,18:30,6
mnoxe4,dinsdag,08:00,17:00,2
mnoxe4,woensdag,08:00,17:00,3
mnoxe4,donderdag,08:00,17:00,4
mnoxe4,vrijdag,08:00,17:00,5
mnoxe4,zaterdag,08:00,16:30,6
2qzq3w,maandag,09:30,18:30,1
2qzq3w,dinsdag,09:30,18:30,2
2qzq3w,woensdag,09:30,18:30,3
2qzq3w,donderdag,09:30,18:30,4
2qzq3w,vrijdag,09:30,18:30,5
2qzq3w,zaterdag,09:30,18:30,6
2xxykw,maandag,07:00,18:00,1
2xxykw,dinsdag,07:00,18:00,2
2xxykw,woensdag,07:00,18:00,3
2xxykw,donderdag,07:00,18:00,4
2xxykw,vrijdag,07:00,18:00,5
2xxykw,zaterdag,07:00,18:00,6
m54qgp,woensdag,09:00,17:00,3
m54qgp,donderdag,09:00,17:00,4
m54qgp,vrijdag,09:00,17:00,5
m54qgp,zaterdag,09:00,17:00,6
m4ba4y,maandag,08:00,18:00,1
m4ba4y,dinsdag,08:00,18:00,2
m4ba4y,woensdag,08:00,18:00,3
m4ba4y,donderdag,08:00,18:00,4
m4ba4y,vrijdag,08:00,18:00,5
m4ba4y,zaterdag,07:30,16:00,6
2pya4z,dinsdag,14:00,20:30,2
2pya4z,woensdag,14:00,20:30,3
2pya4z,donderdag,12:00,21:30,4
2pya4z,vrijdag,10:00,21:30,5
2pya4z,zaterdag,10:00,21:30,6
2pya4z,zondag,12:00,20:30,7
mnol3b,dinsdag,07:00,18:00,2
mnol3b,woensdag,07:00,18:00,3
mnol3b,donderdag,07:00,18:00,4
mnol3b,vrijdag,07:00,18:00,5
mnol3b,zaterdag,07:00,18:00,6
2rxkw7,maandag,10:00,19:00,1
2rxkw7,dinsdag,10:00,19:00,2
2rxkw7,woensdag,10:00,19:00,3
2rxkw7,donderdag,09:30,18:30,4
2rxkw7,vrijdag,09:30,18:30,5
2rxkw7,zaterdag,09:30,18:30,6
2xxygk,woensdag,10:00,20:00,3
2xxygk,donderdag,10:00,20:00,4
2xxygk,vrijdag,10:00,20:00,5
2xxygk,zaterdag,10:00,20:00,6
2qzqlk,woensdag,12:00,16:00,3
2qzqlk,zaterdag,12:00,16:00,6
mkb3r7,maandag,12:00,17:30,1
mkb3r7,dinsdag,12:00,17:30,2
mkb3r7,woensdag,12:00,17:30,3
mkb3r7,donderdag,12:00,17:30,4
mkb3r7,vrijdag,12:00,17:30,5
mkb3r7,zaterdag,09:00,17:00,6
mbyvdk,maandag,09:00,18:00,1
mbyvdk,dinsdag,09:00,18:00,2
mbyvdk,woensdag,09:00,18:00,3
mbyvdk,donderdag,09:00,18:00,4
mbyvdk,vrijdag,09:00,18:00,5
mbyvdk,zaterdag,09:00,16:00,6
mwz6wb,dinsdag,09:30,17:00,2
mwz6wb,woensdag,09:30,17:00,3
mwz6wb,donderdag,09:30,17:00,4
mwz6wb,vrijdag,09:30,17:00,5
mwz6wb,zaterdag,09:30,17:00,6
276bvb,vrijdag,13:00,18:00,5
276bvb,zaterdag,09:00,13:00,6
2v3v6x,maandag,09:00,18:00,1
2v3v6x,dinsdag,09:00,18:00,2
2v3v6x,woensdag,09:00,18:00,3
2v3v6x,donderdag,09:00,18:00,4
2v3v6x,vrijdag,09:00,18:00,5
2v3v6x,zaterdag,09:00,18:00,6
2v3v6x,zondag,10:30,14:00,7
my3odz,maandag,09:00,18:30,1
my3odz,dinsdag,09:00,18:30,2
my3odz,woensdag,09:00,18:30,3
my3odz,donderdag,09:00,18:30,4
my3odz,vrijdag,09:01,18:30,5
my3odz,zaterdag,09:00,17:00,6
mnoldb,maandag,08:30,18:30,1
mnoldb,dinsdag,08:30,18:30,2
mnoldb,woensdag,08:30,18:30,3
mnoldb,donderdag,08:30,18:30,4
mnoldb,vrijdag,08:30,18:30,5
mnoldb,zaterdag,08:00,17:00,6
2le5n6,donderdag,09:00,15:00,4
2le5n6,vrijdag,09:00,17:00,5
2le5n6,zaterdag,09:00,12:00,6
mbyvrk,dinsdag,11:00,19:00,2
mbyvrk,woensdag,11:00,19:00,3
mbyvrk,donderdag,11:00,19:00,4
mbyvrk,vrijdag,11:00,19:00,5
mbyvrk,zaterdag,10:00,18:00,6
mbyvrk,zondag,11:00,17:00,7
m54qov,dinsdag,09:30,18:00,2
m54qov,woensdag,09:30,18:00,3
m54qov,donderdag,09:30,18:00,4
m54qov,vrijdag,09:30,18:00,5
m54qov,zaterdag,09:00,17:00,6
mav74g,maandag,08:00,18:00,1
mav74g,dinsdag,08:00,18:00,2
mav74g,woensdag,08:00,18:00,3
mav74g,donderdag,08:00,18:00,4
mav74g,vrijdag,08:00,18:00,5
mav74g,zaterdag,08:00,18:00,6
mav74g,zondag,08:00,18:00,7
2qzqok,maandag,13:30,17:30,1
2qzqok,donderdag,13:30,17:30,4
2qzqok,vrijdag,09:00,17:30,5
2qzqok,zaterdag,09:00,14:00,6
276bnb,maandag,07:00,21:00,1
276bnb,dinsdag,07:00,21:00,2
276bnb,woensdag,07:00,21:00,3
276bnb,donderdag,07:00,21:00,4
276bnb,vrijdag,07:00,20:30,5
276bnb,zaterdag,07:00,20:30,6
276bnb,zondag,07:00,21:00,7
2zopy5,dinsdag,12:00,18:00,2
2zopy5,woensdag,12:00,18:00,3
2zopy5,donderdag,12:00,18:00,4
2zopy5,vrijdag,09:00,18:00,5
2zopy5,zaterdag,09:00,16:00,6
2xxybk,maandag,09:30,18:30,1
2xxybk,dinsdag,09:30,18:30,2
2xxybk,woensdag,09:30,18:30,3
2xxybk,donderdag,09:30,18:30,4
2xxybk,vrijdag,09:30,18:30,5
276bdb,maandag,06:00,18:00,1
276bdb,dinsdag,06:00,18:00,2
276bdb,woensdag,06:00,18:00,3
276bdb,donderdag,06:00,18:00,4
276bdb,vrijdag,06:00,18:00,5
276bdb,zaterdag,06:00,17:00,6
2v3vbx,woensdag,11:00,22:00,3
2v3vbx,donderdag,11:00,22:00,4
2v3vbx,vrijdag,11:00,22:00,5
2v3vbx,zaterdag,11:00,22:00,6
2v3vbx,zondag,11:00,22:00,7
m66k4v,dinsdag,08:00,17:30,2
m66k4v,woensdag,08:00,17:30,3
m66k4v,donderdag,08:00,17:30,4
m66k4v,vrijdag,08:00,17:30,5
m66k4v,zaterdag,07:30,16:00,6
my3oyz,woensdag,09:30,17:00,3
my3oyz,donderdag,09:30,17:00,4
my3oyz,vrijdag,09:30,17:00,5
my3oyz,zaterdag,09:30,16:00,6
2g3np3,maandag,08:00,17:00,1
2g3np3,dinsdag,08:00,17:00,2
2g3np3,woensdag,08:00,17:00,3
2g3np3,donderdag,08:00,17:00,4
2g3np3,vrijdag,08:00,17:00,5
2g3np3,zaterdag,08:00,14:00,6
m66kop,vrijdag,09:00,17:00,5
my3o5b,vrijdag,08:30,15:00,5
my3o5b,zaterdag,08:30,15:00,6
2g3ndp,maandag,07:30,17:30,1
2g3ndp,dinsdag,07:30,17:30,2
2g3ndp,woensdag,07:30,17:30,3
2g3ndp,donderdag,07:30,17:30,4
2g3ndp,vrijdag,07:30,17:30,5
2g3ndp,zaterdag,07:30,17:30,6
2pyakd,maandag,07:00,17:00,1
2pyakd,dinsdag,07:00,17:00,2
2pyakd,woensdag,07:00,17:00,3
2pyakd,donderdag,07:00,17:00,4
2pyakd,vrijdag,07:00,17:00,5
2pyakd,zaterdag,07:00,17:00,6
mbyvqv,vrijdag,12:30,18:30,5
mbyvqv,zaterdag,09:00,15:30,6
