vendor_id,vendor_shop_name,vendor_permalink,vendor_url,vendor_category_name,vendor_image,vendor_cover_image,vendor_rating,vendor_rating_count,vendor_email,vendor_address,vendor_whatsapp,vendor_description,vendor_gmap_embed_map_src,vendor_gmap_cid,vendor_modified
mnol3b,"Marco's Groentespeciaalzaak",v/mnol3b/marco-s-groentespeciaalzaak,marco-s-groentespeciaalzaak,"Groente en fruit",39e2927a04cbdc2a5baa60f7ab4efd6a,b5863610b1bda385efc70d3d9b66895e,98%,63,m.bruynsvoort@chello.nl,"Jan Evertsenstraat 96",31206165849,"Het Gezonde Alternatief",,,2022-01-18
m54qgp,"Arno’s Groente en fruit",v/m54qgp/arno-s-groente-en-fruit,arno-s-groente-en-fruit,"Groente en fruit",83c6c1b69ec39222456485e997528d87,589cd4bccb87181cce0950b51be9119c,97%,29,a.koelemij9@upcmail.nl,Dappermarkt,31653631536,"Verse groente en fruit van de Dappermarkt",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.423898569134!2d4.926248415994718!3d52.36273325562427!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c6097375bba053%3A0x5e007c7b32cd4142!2sDappermarkt%20Amsterdam!5e0!3m2!1sen!2snl!4v1637312906821!5m2!1sen!2snl,,2022-01-21
k27z7m,"fa. Koopman",v/k27z7m/fa-koopman,fa-koopman,"Kaas en vleeswaren",b05deb79e5c85db080a649fea684ab9b,15ffba52e932bcd04e586c08f2239670,98%,581,koopmandelicatessen@gmail.com,"Elandsgracht 100HS",31618130470,"De meest heerlijke vleeswaren uit eigen worstmakerij.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.0488759435525!2d4.877606315994928!3d52.369533755121424!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c609dd191ec0c5%3A0xef922b5209f96c09!2sKoopman!5e0!3m2!1sen!2snl!4v1630937562589!5m2!1sen!2snl,17262907953019186185,2022-01-18
2xxykw,"Hartog's Volkorenbakkerij",v/2xxykw/hartog-s-volkorenbakkerij,hartog-s-volkorenbakkerij,"Brood en gebak",4f869f344d9b0ce1dcdc6785dc09c56d,39ac02d5a57e3e7ef5a049e631820854,100%,38,info@volkorenbrood.nl,"Wibautstraat 77",31202200044,"Al 125 jaar een volkoren begrip!",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.751345956439!2d4.908873615994561!3d52.35679495606338!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c6099b15676c59%3A0x89d1301ef5524ef9!2sHartog&'s%20Wholegrain%20Bakery%20and%20Milling!5e0!3m2!1sen!2snl!4v1637312689270!5m2!1sen!2snl,9930771562851618553,2021-11-19
2g3nxg,"Tol & de Geus",v/2g3nxg/tol-de-geus,tol-de-geus,Vishandel,5666eeffaae34b7f57d8b9858fc69457,ac242ef5de90b513c2bab2850063ed28,96%,49,tolendegeus@outlook.com,"Middenweg 52",31643008764,"Voor echt goede kwaliteit!",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.9152597896536!2d4.927988216118215!3d52.35382217978304!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c6097a97a033eb%3A0x958b5eda21f83d86!2sVolendammer%20Vishandel!5e0!3m2!1snl!2snl!4v1636556711327!5m2!1snl!2snl,10775810824379841926,2021-11-18
zmb3p2,"Kema Vlees",v/zmb3p2/kema-vlees,kema-vlees,Slagerij,2819d481843de2dafd9552b87f23988f,34aca568d855d266d744f5053f1ba0c7,97%,563,info@kemavlees.nl,"Kinkerstraat 182",31618548115,"Tot 2 februari gesloten ivm verbouwing!
Al 30 jaar het vertrouwde adres voor vers vlees tegen lage prijzen.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.2321590633137!2d4.8653875159948266!3d52.36621025536722!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c5e20a9dd4364d%3A0x7f964628dacd07bf!2sKema%20Vlees!5e0!3m2!1sen!2snl!4v1630937489408!5m2!1sen!2snl,9193612830606952383,2022-02-05
my3ovd,"Slagerij Poldervaart",v/my3ovd/slagerij-poldervaart,slagerij-poldervaart,Slagerij,11b6f2fde70d33e7c6c684df4f1c8407,c6abdaaa72a20f542824f0ada1629324,100%,23,slagerijpoldervaart@gmail.com,"Pretoriusstraat 10",31206653610,"Met passie voor ambacht bieden wij service, kwaliteit en vakmanschap. Zuiver vlees van dieren uit de natuur & specialiteiten uit eigen worstmakerij.",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.7795869540387!2d4.924438116118302!3d52.3562827797836!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c60970c8516021%3A0xe4d64353a664b75d!2sFrance%20Limousin%20Slagerij%20Poldervaart!5e0!3m2!1snl!2snl!4v1636556844361!5m2!1snl!2snl,16489441112216614749,2021-12-27
mnolrz,"Let's Get Nuts",v/mnolrz/let-s-get-nuts,let-s-get-nuts,"Noten en zuidvruchten",542abff702f80566c57abfdca199507a,bcefb155bc0bd096c499ca1304abfd7f,100%,6,sam@letsgetnuts.nl,Dappermarkt,31651070579,"Vers van de markt, zo bij u thuis!",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2435.935400089583!2d4.929459115994981!3d52.37159135496921!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c8adcef38f86eb%3A0x71e14ab6ca87ee6e!2sLet's%20Get%20Nuts!5e0!3m2!1sen!2snl!4v1630937061016!5m2!1sen!2snl,8205922144988163694,2021-11-10
mwz6nb,Pirolito,v/mwz6nb/pirolito,pirolito,Dranken,8f177639bbf90945ac7810160e10cc19,4e85fb454169a78cbaf32bb3f4c4c773,100%,0,tv@pirolito.nl,"Amsterdam Oost",31634211456,"Exceptional Portuguese natural and bio wine cellar, from Amsterdam.",,,2022-02-04
2zopzy,Sprezzatura,v/2zopzy/sprezzatura,sprezzatura,Dranken,02728c09546e0df3004c34d56cef862d,db0f2fe7d44b4fed2a55942e1866b820,100%,2,vini@enoteca-sprezzatura.nl,"Czaar Peterstraat 118",31614383723,"Dé lekkerste Italiaanse wijn van Amsterdam!",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2436.014610454209!2d4.927638716118728!3d52.370155079786194!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47c60be042b32591%3A0xefce1ae9a3f08d04!2sSprezzatura%20%7C%20Enoteca%20Italiana%2FVerkerk%20Wijnimport!5e0!3m2!1snl!2snl!4v1636557793212,17279778411047324932,2021-11-16
